content/audio/foley_bots,fdf011daecf24312,3b2c86dd5b316eb2,
content/audio/foley_bugs,89de9c3d26d2adc1,3b2c86dd5b316eb2,
content/audio/foley_illuminate,046d4441a6dae0a9,,
content/audio/foley_npcs,fc5b6bff0db90aab,1538ce9a1eaee5d8,b1b50301b4d2f3b0
content/audio/foley_player,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_common,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_concrete_stone,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_dirt,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_flesh,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_foliage,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_glass,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_grass,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_gravel,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_ice_snow,7371c64d957e5c74,64a1d63e15f3e423,
content/audio/foley_player_surface_media_metal,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_mud_water,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_rubber,18235e0c9ec0e636,,
content/audio/foley_player_surface_media_sand,324e128327ac29ab,ce70d931bcb19030,
content/audio/foley_player_surface_media_wood,8c499ae85be2ae65,ce70d931bcb19030,
